name,lat,lon
Lost Coast Trail,40.169328,-124.2271324
Fern Canyon,34.1708578,-117.9332738
Castle Crags Dome Trail,41.17556,-122.33944
Bumpass Hell Trail,40.4532818,-121.4940683
Feather Falls Trail,39.6261391,-121.2683679
Alamere Falls,37.9537367,-122.7833527
Cataract Falls Trail,37.93184,-122.63539
Purisima Creek Redwoods,37.429725,-122.3371513
Boronda Trail,36.0873537,-121.5946174
Salmon Creek Falls Trail,35.81542,-121.35915
Montaña de Oro Bluff Trail,35.2728,-120.8887
Bridge to Nowhere Hike,34.28306,-117.74667
Painted Canyon,33.7034924,-116.2269696
Black Star Canyon Trail,33.76609,-117.67915
The Slot,33.1824871,-116.2154463
Big Pine Lakes Trail,37.13215,-118.50927
Panum Crater,37.9295411,-119.045671
Santa Paula Canyon,34.4398008,-119.0805579
Cedar Creek Falls,32.9899492,-116.7296427
Kelso Dunes,34.9341862,-115.7196087
Boy Scout Tree Trail,41.7783561,-124.1315808
Table Mountain “Phantom Falls”,39.61041,-121.56063
Deep Creek Hot Springs,34.3394243,-117.177035
Solstice Canyon,34.0440713,-118.7556101
High Peaks Trail,36.4895798,-121.1972548
Samoa Cookhouse,40.8197249,-124.1816255
Hodad’s,32.7471357,-117.2512075
La Super-Rica Taqueria,34.42,-119.698
Tito’s Tacos,34.0081414,-118.4144703
Duarte’s Tavern,37.2520672,-122.3827841
Cafe 222,33.1188418,-117.0852029
Nepenthe,36.2218116,-121.7596565
Brew Hawg BBQ & Root Beer,33.803,-117.853
China City Restaurant,38.663,-120.987
Philippe The Original,34.0596738,-118.236941
India Oven,38.6364535,-121.5050381
The Marshall Store,38.1516292,-122.8880588
Lightwave Coffee & Kitchen,38.293,-122.458
Outta Sight Pizza,37.7818381,-122.4171104
Rose Pizzeria,37.8715901,-122.2714953
Popoca,37.8015933,-122.27424
Spoon & Pork,34.0389675,-118.442375
Elf Cafe,34.0775801,-118.2646234
Calabama,34.099,-118.327
The Old Place,34.1145819,-118.7782557
Appu’s Cafe,33.82809,-118.1152833
Las Cuatro Milpas,32.7018755,-117.1451459
Klamath River Overlook,41.5543991,-124.0866197
Glass Beach,39.4536542,-123.8129436
Mount Tamalpais East Peak,37.9290369,-122.5777214
Mount Diablo Summit,37.8809143,-121.9186787
Red Rock Canyon Cliffs,35.37299,-117.99069
Font’s Point,33.30342,-116.23903
Trona Pinnacles,35.6169937,-117.3721969
Mobius Arch,36.6135526,-118.1257536
Mono Lake – South Tufa,37.9387,-119.02713
Amboy Crater,34.5438831,-115.7911091
“Top of the World” Lookout,37.0061829,-121.997271
Point Vicente Bluffs,33.74187,-118.41074
Sunset Cliffs,32.7344248,-117.2564981
Torrey Pines Gliderport,32.8902399,-117.2516928
Point Dume,34.001631,-118.8066756
Carrizo Plain Overlook,35.2395,-119.9078
McArthur-Burney Falls,41.0167664,-121.6412627
Pinnacles High Peaks,36.4785,-121.18357
Palos Verdes “Glass Church” View,33.758,-118.398
Inspiration Point,34.4721779,-119.7147841
Capitola Wharf & Cliffs,36.974,-121.953
Shark Fin Cove,37.0036665,-122.1863253
Keyes View,33.922,-116.248
Gaviota Wind Caves Overlook,34.471,-120.225
Mount Shasta Reflection,41.234,-122.347
Salvation Mountain,33.2540516,-115.4726227
East Jesus Sculpture Garden,33.25707,-115.46356
Bombay Beach Art Installations,33.35083,-115.72972
Albany Bulb Art Park,37.89,-122.32472
The Wave Organ,37.80851,-122.44019
Lands End Labyrinth,37.78802,-122.50583
Forestiere Underground Gardens,36.8075845,-119.8818411
Moaning Cavern,38.0718876,-120.4657812
Bodie Ghost Town,38.21331,-119.01513
Watts Towers,33.9387198,-118.2410534
Museum of Jurassic Technology,34.025875,-118.3950859
Elmer’s Bottle Tree Ranch,34.690342,-117.3396295
The Integratron,34.29433,-116.40374
Galleta Meadows “Sky Art”,33.29007,-116.37666
Nitt Witt Ridge,35.56667,-121.09528
Confusion Hill,39.9180968,-123.7636074
Bigfoot Discovery Museum,37.04148,-122.07272
Tio’s Tacos,33.984238,-117.377025
Weaverville Joss House,40.7312941,-122.9407727
Preston Castle,38.3611113,-120.936927
Point Sur Lightstation,36.30625,-121.90154
Cabazon Dinosaurs,33.9207743,-116.7739454
Venice Canals,33.9869093,-118.473587
Winchester Mystery House,37.3182932,-121.9509886
Watts Towers Arts Center,33.9393075,-118.2423498
